OBJECTID,id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,planted_date,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,next_inspection_due,tpz,srz,removed_date,removed_reason,removed_notes,created_at,updated_at,Key,asset_file,Genus,MatchType,FinalAsset_LowPoly,FinalAsset_Realistic,FinalAsset_Schematic,FinalAsset_Fan,FinalAsset
1,3130663,186833,Tree,Not specified,Not specified,,,0,0,,,,,0,,,0,,,0,,,,,,,1,0,0101000020E6100000058651B5C2526140EE1CF3CF467641C0,138.5862681,-34.92403602,Park 25 - Narnungga - Park Tree - Pinus Halepensis,Adelaide,No,13/09/2024 0:00,,,,Previously Removed,,13/09/2021 0:00,13/09/2021 0:00,Not specified,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
7,3150984,261837,Tree,Aleppo Pine,Pinus,Halepensis,,0,0,> 60cm,Mature,,10-20m,0,Good,10-20m,0,,Moderate,2,Fair,10-20 years,,2-3m,,,1,0,0101000020E61000007AF622FBDC52614072A83A3F207341C0,138.5894752,-34.8994216,"Adelaide Aquatic Centre, North Adelaide SA 5006, Australia",North Adelaide,No,17/01/2026 14:36,,,,,,3/05/2024 15:12,17/01/2025 14:36,PinusHalepensis,,,Genus fallback,assets/Trees/LowPoly/PinusContorta.glb,assets/Trees/Realistic/PinusContorta.glb,assets/Trees/Schematic/PinusContorta.glb,assets/Trees/Fan/PinusContorta.glb,assets/Trees/LowPoly/PinusContorta.glb
8,3550455,261839,Tree,Gum Tree,Eucalyptus,Sp.,Unknown,0,0,< 15cm,Juvenile,,<2m,0,Average,<5m,0,,Low,1,Good,> 20 years,,Less than 1m,,,0,0,0101000020E6100000568FA80EE1526140AADDA791337341C0,138.5899728,-34.90001126,"Padipadinyilla, North Adelaide SA 5006, Australia",North Adelaide,No,17/01/2028 14:36,,,,,,9/05/2024 8:15,17/01/2025 14:36,EucalyptusSp.,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
12,3550653,261843,Tree,River Red Gum,Eucalyptus,Camaldulensis,,0,0,15-30cm,Semi Mature,,5-10m,0,Good,<5m,0,,Low,1,Fair,10-20 years,,Less than 1m,,,1,0,0101000020E6100000A4C34318DF5261402CC1DAFF1D7341C0,138.5897333,-34.89935301,,North Adelaide,No,17/06/2028 8:06,,,,,,9/05/2024 9:16,17/06/2025 8:06,EucalyptusCamaldulensis,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
14,3550905,261845,Tree,Harkness Bottlebrush,Callistemon,Citrinus x viminalis,,0,0,< 15cm,Juvenile,,<2m,0,Good,<5m,0,,Low,1,Good,10-20 years,,Less than 1m,,,1,0,0101000020E6100000EE47C4733A536140C9C5BD9ED47341C0,138.6008853,-34.90492615,"The Glover Playground, North Adelaide SA 5006, Australia",North Adelaide,No,17/01/2028 14:36,,,,,,9/05/2024 10:18,17/01/2025 14:36,CallistemonCitrinus x viminalis,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
15,3551199,261846,Tree,Silky Oak,Grevillea,Robusta,,0,0,< 15cm,Juvenile,19/06/2025 9:26,<2m,0,Good,<5m,0,,Low,1,Good,> 20 years,,Less than 1m,,,1,0,0101000020E6100000295C8FC2355361400B56E6F7C77341C0,138.6003125,-34.90454005,,North Adelaide,No,19/06/2028 9:26,,,,,,9/05/2024 12:19,19/06/2025 9:26,GrevilleaRobusta,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
16,3551271,261847,Tree,Tuckeroo,Cupaniopsis,Anacardioides,,0,4,< 15cm,Juvenile,,<2m,0,Good,<5m,0,,Low,1,Good,> 20 years,,Less than 1m,,,1,0,0101000020E6100000359CF01AAD536140A04820F33B7641C0,138.614881,-34.92370452,,Adelaide,No,8/08/2028 13:24,2,1.5,,,,9/05/2024 12:58,8/08/2025 13:24,CupaniopsisAnacardioides,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
19,3551290,261850,Tree,Chinese Pistache,Pistacia,Chinensis,,0,11,< 15cm,Juvenile,,2-5m,0,Good,<5m,0,,Low,1,Fair,10-20 years,,Less than 1m,,,1,0,0101000020E61000006C83A835AC536140AD29773C397641C0,138.6147717,-34.92362171,,Adelaide,No,8/08/2028 13:29,2,1.5,,,,9/05/2024 13:02,8/08/2025 13:29,PistaciaChinensis,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
25,3551319,261856,Tree,Jacaranda,Jacaranda,Mimosifolia,,0,13,< 15cm,Semi Mature,,2-5m,0,Good,<5m,0,,Low,1,Good,> 20 years,,Less than 1m,,,1,0,0101000020E610000006B243A1AA5361401C98DC28327641C0,138.6145789,-34.92340575,,Adelaide,No,8/08/2028 13:39,2,1.5,,,,9/05/2024 13:10,8/08/2025 13:39,JacarandaMimosifolia,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
26,3551327,261857,Tree,Native Frangipani,Hymenosporum,Flavum,,0,7,< 15cm,Young,,2-5m,0,Average,5-10m,0,,Low,1,Good,10-20 years,,Less than 1m,,,1,0,0101000020E610000039AB2E75AA536140EE76DE422E7641C0,138.6145578,-34.92328678,"Rundle Road, Adelaide SA 5000, Australia",Adelaide,No,8/08/2028 13:42,2,1.5,,,,9/05/2024 13:13,8/08/2025 13:42,HymenosporumFlavum,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
31,3551345,261862,Tree,Lemon-scented Myrtle,Backhousia,Citriodora,,0,3,< 15cm,Young,,<2m,0,Average,<5m,0,,Low,1,Good,10-20 years,,Less than 1m,,,1,0,0101000020E6100000B8414871A9536140A0E7CBE2307641C0,138.6144339,-34.92336688,,Adelaide,No,8/08/2028 13:48,2,1.5,,,,9/05/2024 13:23,8/08/2025 13:48,BackhousiaCitriodora,,,Unknown,assets/Trees/LowPoly/Unknown.glb,assets/Trees/Realistic/Unknown.glb,assets/Trees/Schematic/Unknown.glb,assets/Trees/Fan/Unknown.glb,assets/Trees/LowPoly/Unknown.glb
36,3551364,261868,Tree,South Australian Blue Gum,Eucalyptus,Leucoxylon ssp. leucoxylon,,0,12,< 15cm,Young,,2-5m,0,Good,5-10m,0,,Low,1,Good,> 20 years,,Less than 1m,,,0,0,0101000020E6100000960CBE38AA5361406ECD4EED297641C0,138.614529,-34.92315451,,Adelaide,No,8/08/2028 13:50,2,1.5,,,,9/05/2024 13:33,8/08/2025 13:50,EucalyptusLeucoxylon ssp. leucoxylon,,,Genus fallback,assets/Trees/LowPoly/EucalyptusGlobulus.glb,assets/Trees/Realistic/EucalyptusGlobulus.glb,assets/Trees/Schematic/EucalyptusGlobulus.glb,assets/Trees/Fan/EucalyptusGlobulus.glb,assets/Trees/LowPoly/EucalyptusGlobulus.glb
