id,asset_id,status,common_name,genus,species,variety,species_code,dbh,dbh_range,age,canopy,canopy_m,health,height,height_m,legal,risk,riskid,structure,ule,vigour,circumference,overhead_cables,base_material,park_tree,private_tree,geom,lng,lat,approx_address,suburb,significant_tree,tpz,srz,removed_reason,removed_notes,GlobalID
3130663,186833,Tree,Not specified,Not specified,,,0,0,None,None,None,0,None,None,0,None,None,0,None,None,None,None,,,1,0,0101000020E6100000058651B5C2526140EE1CF3CF467641C0,138.586268100000012,-34.92403602,Park 25 - Narnungga - Park Tree - Pinus Halepensis,Adelaide,No,,,Previously Removed,None,{F2BFE82F-8020-4A47-BFB9-A87878C90426}
3150984,261837,Tree,Aleppo Pine,Pinus,halepensis,None,0,0,> 60cm,Mature,10-20m,0,Good,10-20m,0,None,Moderate,2,Fair,10-20 years,None,2-3m,,,1,0,0101000020E61000007AF622FBDC52614072A83A3F207341C0,138.589475219999997,-34.8994216,"Adelaide Aquatic Centre, North Adelaide SA 5006, Australia",North Adelaide,No,,,None,None,{0D809691-8DC7-4BA0-A45A-743E1B68C49B}
3550455,261839,Tree,Gum Tree,Eucalyptus,sp.,Unknown,0,0,< 15cm,Juvenile,<2m,0,Average,<5m,0,None,Low,1,Good,> 20 years,None,Less than 1m,,,0,0,0101000020E6100000568FA80EE1526140AADDA791337341C0,138.589972810000006,-34.90001126,"Padipadinyilla, North Adelaide SA 5006, Australia",North Adelaide,No,,,None,None,{D88524B7-6940-40B2-9E01-0F1335124450}
3550653,261843,Tree,River Red Gum,Eucalyptus,camaldulensis,None,0,0,15-30cm,Semi Mature,5-10m,0,Good,<5m,0,None,Low,1,Fair,10-20 years,None,Less than 1m,,,1,0,0101000020E6100000A4C34318DF5261402CC1DAFF1D7341C0,138.589733249999995,-34.89935301,None,North Adelaide,No,,,None,None,{50A3979E-1B28-4761-AD88-6811B2CD2BD8}
3550905,261845,Tree,Harkness Bottlebrush,Callistemon,citrinus x viminalis,None,0,0,< 15cm,Juvenile,<2m,0,Good,<5m,0,None,Low,1,Good,10-20 years,None,Less than 1m,,,1,0,0101000020E6100000EE47C4733A536140C9C5BD9ED47341C0,138.600885280000000,-34.90492615,"The Glover Playground, North Adelaide SA 5006, Australia",North Adelaide,No,,,None,None,{2C286BEF-DDF5-45F9-817C-1CE5CE1F1632}
3551199,261846,Tree,Silky Oak,Grevillea,robusta,None,0,0,< 15cm,Juvenile,<2m,0,Good,<5m,0,None,Low,1,Good,> 20 years,None,Less than 1m,,,1,0,0101000020E6100000295C8FC2355361400B56E6F7C77341C0,138.600312500000001,-34.90454005,None,North Adelaide,No,,,None,None,{8226B48F-0735-4DAE-B191-FA3DA89CDF3E}
3551271,261847,Tree,Tuckeroo,Cupaniopsis,anacardioides,None,0,4,< 15cm,Juvenile,<2m,0,Good,<5m,0,None,Low,1,Good,> 20 years,None,Less than 1m,,,1,0,0101000020E6100000359CF01AAD536140A04820F33B7641C0,138.614881010000005,-34.92370452,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{9A547C59-7617-4FAC-B79E-E59CCEC4DE68}
3551290,261850,Tree,Chinese Pistache,Pistacia,chinensis,None,0,11,< 15cm,Juvenile,2-5m,0,Good,<5m,0,None,Low,1,Fair,10-20 years,None,Less than 1m,,,1,0,0101000020E61000006C83A835AC536140AD29773C397641C0,138.614771679999990,-34.92362171,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{BA20D9F9-2D5B-4B80-9D49-41FBCAE7DBF9}
3551319,261856,Tree,Jacaranda,Jacaranda,mimosifolia,None,0,13,< 15cm,Semi Mature,2-5m,0,Good,<5m,0,None,Low,1,Good,> 20 years,None,Less than 1m,,,1,0,0101000020E610000006B243A1AA5361401C98DC28327641C0,138.614578849999987,-34.92340575,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{68A58335-207B-4BF3-A7BC-82577E85C187}
3551327,261857,Tree,Native Frangipani,Hymenosporum,flavum,None,0,7,< 15cm,Young,2-5m,0,Average,5-10m,0,None,Low,1,Good,10-20 years,None,Less than 1m,,,1,0,0101000020E610000039AB2E75AA536140EE76DE422E7641C0,138.614557829999995,-34.92328678,"Rundle Road, Adelaide SA 5000, Australia",Adelaide,No,2.000000000000000,1.500000000000000,None,None,{B7653CBA-AA81-451C-AC39-27F13C2FC125}
3551345,261862,Tree,Lemon-scented Myrtle,Backhousia,citriodora,None,0,3,< 15cm,Young,<2m,0,Average,<5m,0,None,Low,1,Good,10-20 years,None,Less than 1m,,,1,0,0101000020E6100000B8414871A9536140A0E7CBE2307641C0,138.614433899999995,-34.92336688,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{4AB6A9FA-FDE1-44A0-AA3D-CF7B47923B3E}
3551364,261868,Tree,South Australian Blue Gum,Eucalyptus,leucoxylon ssp. leucoxylon,None,0,12,< 15cm,Young,2-5m,0,Good,5-10m,0,None,Low,1,Good,> 20 years,None,Less than 1m,,,0,0,0101000020E6100000960CBE38AA5361406ECD4EED297641C0,138.614529010000012,-34.92315451,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{07D23D69-23DF-4D85-B73E-00FA0689BEDA}
3563663,261870,Tree,Wilga,Geijera,parviflora,None,0,8,< 15cm,Semi Mature,<2m,1,Poor,<5m,2,None,Low,1,Good,5-10 years,None,Less than 1m,,,1,0,0101000020E610000048D89EF6A7536140EBE67F45C07641C0,138.614253340000005,-34.92774266,None,Adelaide,No,2.000000000000000,1.500000000000000,None,None,{F928D769-60D2-4B4B-8007-99743D77FAA4}
3566738,261878,Tree,Smooth-Barked Apple Myrtle,Angophora,costata,None,0,0,< 15cm,Young,2-5m,0,Average,5-10m,0,None,Low,1,Fair,10-20 years,None,Less than 1m,,,1,0,0101000020E610000008D493E0AA53614090A03A4EB87641C0,138.614609040000005,-34.92749956,None,Adelaide,No,,,None,None,{487089D0-18C0-4198-8C03-98E07FEB676B}
